CODICE REGIONE,CODICE COMUNE ISTAT,DENOMINAZIONE COMUNE,REGIONE,PROVINCIA,SIGLA AUTOMOBILISTICA,ANNO,POPOLAZIONE
190,083026,Frazzanò,Sicilia,Messina,ME,2024,562
190,083027,Furci Siculo,Sicilia,Messina,ME,2024,3203
190,083028,Furnari,Sicilia,Messina,ME,2024,4180
190,083029,Gaggi,Sicilia,Messina,ME,2024,3082
190,083030,Galati Mamertino,Sicilia,Messina,ME,2024,2211
190,083031,Gallodoro,Sicilia,Messina,ME,2024,324
190,083032,Giardini-Naxos,Sicilia,Messina,ME,2024,9315
190,083033,Gioiosa Marea,Sicilia,Messina,ME,2024,6766
190,083034,Graniti,Sicilia,Messina,ME,2024,1453
190,083035,Gualtieri Sicaminò,Sicilia,Messina,ME,2024,1555
190,083036,Itala,Sicilia,Messina,ME,2024,1491
190,083037,Leni,Sicilia,Messina,ME,2024,677
190,083038,Letojanni,Sicilia,Messina,ME,2024,2914
190,083039,Librizzi,Sicilia,Messina,ME,2024,1570
190,083040,Limina,Sicilia,Messina,ME,2024,727
190,083041,Lipari,Sicilia,Messina,ME,2024,12685
190,083042,Longi,Sicilia,Messina,ME,2024,1301
190,083043,Malfa,Sicilia,Messina,ME,2024,1001
190,083044,Malvagna,Sicilia,Messina,ME,2024,608
190,083045,Mandanici,Sicilia,Messina,ME,2024,493
190,083046,Mazzarrà Sant'Andrea,Sicilia,Messina,ME,2024,1399
190,083047,Merì,Sicilia,Messina,ME,2024,2305
190,083048,Messina,Sicilia,Messina,ME,2024,217895
190,083049,Milazzo,Sicilia,Messina,ME,2024,29998
190,083050,Militello Rosmarino,Sicilia,Messina,ME,2024,1147
190,083051,Mirto,Sicilia,Messina,ME,2024,872
190,083052,Mistretta,Sicilia,Messina,ME,2024,4315
190,083053,Moio Alcantara,Sicilia,Messina,ME,2024,686
190,083054,Monforte San Giorgio,Sicilia,Messina,ME,2024,2448
190,083055,Mongiuffi Melia,Sicilia,Messina,ME,2024,521
190,083056,Montagnareale,Sicilia,Messina,ME,2024,1378
190,083057,Montalbano Elicona,Sicilia,Messina,ME,2024,2077
190,083058,Motta Camastra,Sicilia,Messina,ME,2024,796
190,083059,Motta d'Affermo,Sicilia,Messina,ME,2024,655
190,083060,Naso,Sicilia,Messina,ME,2024,3417
190,083061,Nizza di Sicilia,Sicilia,Messina,ME,2024,3528
190,083062,Novara di Sicilia,Sicilia,Messina,ME,2024,1130
190,083063,Oliveri,Sicilia,Messina,ME,2024,2187
190,083064,Pace del Mela,Sicilia,Messina,ME,2024,5956
190,083065,Pagliara,Sicilia,Messina,ME,2024,1116
190,083066,Patti,Sicilia,Messina,ME,2024,12699
190,083067,Pettineo,Sicilia,Messina,ME,2024,1241
190,083068,Piraino,Sicilia,Messina,ME,2024,3797
190,083069,Raccuja,Sicilia,Messina,ME,2024,834
190,083070,Reitano,Sicilia,Messina,ME,2024,705
190,083071,Roccafiorita,Sicilia,Messina,ME,2024,178
190,083072,Roccalumera,Sicilia,Messina,ME,2024,4064
190,083073,Roccavaldina,Sicilia,Messina,ME,2024,1003
190,083074,Roccella Valdemone,Sicilia,Messina,ME,2024,560
190,083075,Rodì Milici,Sicilia,Messina,ME,2024,1959
190,083076,Rometta,Sicilia,Messina,ME,2024,6596
190,083077,San Filippo del Mela,Sicilia,Messina,ME,2024,6691
190,083078,San Fratello,Sicilia,Messina,ME,2024,3198
190,083079,San Marco d'Alunzio,Sicilia,Messina,ME,2024,1817
190,083080,San Pier Niceto,Sicilia,Messina,ME,2024,2583
190,083081,San Piero Patti,Sicilia,Messina,ME,2024,2593
190,083082,San Salvatore di Fitalia,Sicilia,Messina,ME,2024,1119
190,083083,Santa Domenica Vittoria,Sicilia,Messina,ME,2024,853
190,083084,Sant'Agata di Militello,Sicilia,Messina,ME,2024,11933
190,083085,Sant'Alessio Siculo,Sicilia,Messina,ME,2024,1550
190,083086,Santa Lucia del Mela,Sicilia,Messina,ME,2024,4374
190,083087,Santa Marina Salina,Sicilia,Messina,ME,2024,858
190,083088,Sant'Angelo di Brolo,Sicilia,Messina,ME,2024,2722
190,083089,Santa Teresa di Riva,Sicilia,Messina,ME,2024,9266
190,083090,San Teodoro,Sicilia,Messina,ME,2024,1251
190,083091,Santo Stefano di Camastra,Sicilia,Messina,ME,2024,4351
190,083092,Saponara,Sicilia,Messina,ME,2024,3670
190,083093,Savoca,Sicilia,Messina,ME,2024,1715
190,083094,Scaletta Zanclea,Sicilia,Messina,ME,2024,1845
