"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"087007","Belpasso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",28133,"e","dato stimato"
"084006","Calamonaci","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1145,"e","dato stimato"
"086005","Calascibetta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4031,"e","dato stimato"
"087010","Calatabiano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5119,"e","dato stimato"
"081003","Calatafimi-Segesta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6056,"e","dato stimato"
"084007","Caltabellotta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3148,"e","dato stimato"
"087011","Caltagirone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",35628,"e","dato stimato"
"082015","Caltavuturo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3437,"e","dato stimato"
"084008","Camastra","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1992,"e","dato stimato"
"082021","Carini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",40150,"e","dato stimato"
"089006","Carlentini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",17029,"e","dato stimato"
"083011","Caronia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3003,"e","dato stimato"
"083012","Casalvecchio Siculo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",714,"e","dato stimato"
"089007","Cassaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",719,"e","dato stimato"
"087013","Castel di Iudica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4259,"e","dato stimato"
"083013","Castel di Lucio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1325,"e","dato stimato"
"082022","Castelbuono","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8016,"e","dato stimato"
"081005","Castellammare del Golfo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",14660,"e","dato stimato"
"082024","Castellana Sicula","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2973,"e","dato stimato"
"083014","Castell'Umberto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2817,"e","dato stimato"
"083015","Castelmola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1068,"e","dato stimato"
"084012","Casteltermini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7212,"e","dato stimato"
"081006","Castelvetrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",29249,"e","dato stimato"
"087014","Castiglione di Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2886,"e","dato stimato"
"084013","Castrofilippo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2593,"e","dato stimato"
"082025","Castronovo di Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2786,"e","dato stimato"
"083016","Castroreale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2264,"e","dato stimato"
"086006","Catenanuova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4452,"e","dato stimato"
"084014","Cattolica Eraclea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3249,"e","dato stimato"
"086007","Centuripe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5016,"e","dato stimato"
"086008","Cerami","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1850,"e","dato stimato"
"082028","Cerda","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4881,"e","dato stimato"
"083017","Cesarò","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2114,"e","dato stimato"
"088003","Comiso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",30092,"e","dato stimato"
"084016","Comitini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",846,"e","dato stimato"
"083018","Condrò","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",479,"e","dato stimato"
"082033","Contessa Entellina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1472,"e","dato stimato"
"082034","Corleone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10276,"e","dato stimato"
"081008","Erice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",26002,"e","dato stimato"
"082035","Ficarazzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",12827,"e","dato stimato"
"082026","Cefalà Diana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",976,"e","dato stimato"
